resource,consumer
Ammonite_1,Ammonite_1
Ammonite_1,Ammonite_2
Ammonite_1,Ammonite_3
Ammonite_1,Belemnite_1
Ammonite_1,Fish_1
Ammonite_2,Ammonite_2
Ammonite_2,Ammonite_3
Ammonite_2,Belemnite_1
Ammonite_2,Belemnite_2
Ammonite_2,Fish_1
Ammonite_3,Ammonite_3
Ammonite_3,Belemnite_1
Ammonite_3,Belemnite_2
Ammonite_3,Belemnite_3
Ammonite_3,Fish_1
BASAL_NODE,Bivalve_1
BASAL_NODE,Bivalve_10
BASAL_NODE,Bivalve_11
BASAL_NODE,Bivalve_12
BASAL_NODE,Bivalve_13
BASAL_NODE,Bivalve_14
BASAL_NODE,Bivalve_15
BASAL_NODE,Bivalve_16
BASAL_NODE,Bivalve_17
BASAL_NODE,Bivalve_18
BASAL_NODE,Bivalve_19
BASAL_NODE,Bivalve_2
BASAL_NODE,Bivalve_20
BASAL_NODE,Bivalve_21
BASAL_NODE,Bivalve_22
BASAL_NODE,Bivalve_23
BASAL_NODE,Bivalve_3
BASAL_NODE,Bivalve_4
BASAL_NODE,Bivalve_5
BASAL_NODE,Bivalve_6
BASAL_NODE,Bivalve_7
BASAL_NODE,Bivalve_8
BASAL_NODE,Bivalve_9
BASAL_NODE,Brachiopod_1
BASAL_NODE,Crinoid_1
BASAL_NODE,Crinoid_2
BASAL_NODE,Gastropod_1
BASAL_NODE,Gastropod_3
BASAL_NODE,Serpulid_1
BASAL_NODE,Soft_1
BASAL_NODE,Soft_2
BASAL_NODE,Soft_3
BASAL_NODE,Soft_4
Belemnite_1,Belemnite_1
Belemnite_1,Belemnite_2
Belemnite_1,Belemnite_3
Belemnite_1,Fish_1
Belemnite_2,Belemnite_2
Belemnite_2,Belemnite_3
Belemnite_3,Belemnite_3
Bivalve_1,Crustacean_1
Bivalve_1,Crustacean_2
Bivalve_1,Crustacean_3
Bivalve_1,Crustacean_4
Bivalve_10,Crustacean_1
Bivalve_10,Crustacean_2
Bivalve_10,Crustacean_3
Bivalve_11,Belemnite_2
Bivalve_11,Belemnite_3
Bivalve_12,Crustacean_1
Bivalve_13,Crustacean_1
Bivalve_13,Crustacean_2
Bivalve_13,Crustacean_3
Bivalve_14,Crustacean_1
Bivalve_14,Crustacean_2
Bivalve_14,Crustacean_3
Bivalve_14,Crustacean_4
Bivalve_14,Scaphopod_1
Bivalve_15,Ammonite_3
Bivalve_15,Belemnite_1
Bivalve_15,Belemnite_2
Bivalve_15,Belemnite_3
Bivalve_15,Crustacean_1
Bivalve_15,Fish_1
Bivalve_16,Ammonite_2
Bivalve_16,Ammonite_3
Bivalve_16,Belemnite_1
Bivalve_16,Belemnite_2
Bivalve_16,Crustacean_1
Bivalve_16,Crustacean_2
Bivalve_16,Crustacean_3
Bivalve_16,Fish_1
Bivalve_16,Ophiuroid_1
Bivalve_17,Ammonite_1
Bivalve_17,Ammonite_2
Bivalve_17,Ammonite_3
Bivalve_17,Belemnite_1
Bivalve_17,Crustacean_1
Bivalve_17,Crustacean_2
Bivalve_17,Crustacean_3
Bivalve_17,Crustacean_4
Bivalve_17,Fish_1
Bivalve_17,Ophiuroid_1
Bivalve_17,Scaphopod_1
Bivalve_18,Ammonite_1
Bivalve_18,Ammonite_2
Bivalve_18,Crustacean_2
Bivalve_18,Crustacean_3
Bivalve_18,Crustacean_4
Bivalve_18,Gastropod_2
Bivalve_18,Ophiuroid_1
Bivalve_18,Scaphopod_1
Bivalve_19,Ammonite_3
Bivalve_19,Belemnite_1
Bivalve_19,Belemnite_2
Bivalve_19,Belemnite_3
Bivalve_19,Crustacean_1
Bivalve_19,Fish_1
Bivalve_2,Ammonite_2
Bivalve_2,Ammonite_3
Bivalve_2,Belemnite_1
Bivalve_2,Belemnite_2
Bivalve_2,Crustacean_1
Bivalve_2,Crustacean_2
Bivalve_2,Crustacean_3
Bivalve_2,Fish_1
Bivalve_2,Ophiuroid_1
Bivalve_20,Ammonite_2
Bivalve_20,Ammonite_3
Bivalve_20,Belemnite_1
Bivalve_20,Belemnite_2
Bivalve_20,Crustacean_1
Bivalve_20,Crustacean_2
Bivalve_20,Crustacean_3
Bivalve_20,Fish_1
Bivalve_20,Ophiuroid_1
Bivalve_21,Ammonite_1
Bivalve_21,Ammonite_2
Bivalve_21,Ammonite_3
Bivalve_21,Belemnite_1
Bivalve_21,Crustacean_1
Bivalve_21,Crustacean_2
Bivalve_21,Crustacean_3
Bivalve_21,Crustacean_4
Bivalve_21,Fish_1
Bivalve_21,Ophiuroid_1
Bivalve_21,Scaphopod_1
Bivalve_22,Ammonite_3
Bivalve_22,Belemnite_1
Bivalve_22,Belemnite_2
Bivalve_22,Belemnite_3
Bivalve_22,Crustacean_1
Bivalve_22,Fish_1
Bivalve_23,Ammonite_1
Bivalve_23,Ammonite_2
Bivalve_23,Ammonite_3
Bivalve_23,Belemnite_1
Bivalve_23,Crustacean_1
Bivalve_23,Crustacean_2
Bivalve_23,Crustacean_3
Bivalve_23,Crustacean_4
Bivalve_23,Fish_1
Bivalve_23,Ophiuroid_1
Bivalve_23,Scaphopod_1
Bivalve_3,Crustacean_1
Bivalve_3,Crustacean_2
Bivalve_3,Crustacean_3
Bivalve_3,Crustacean_4
Bivalve_3,Scaphopod_1
Bivalve_4,Crustacean_1
Bivalve_4,Crustacean_2
Bivalve_4,Crustacean_3
Bivalve_5,Crustacean_1
Bivalve_5,Crustacean_2
Bivalve_5,Crustacean_3
Bivalve_5,Crustacean_4
Bivalve_6,Crustacean_2
Bivalve_6,Crustacean_3
Bivalve_6,Crustacean_4
Bivalve_7,Crustacean_1
Bivalve_7,Crustacean_2
Bivalve_7,Crustacean_3
Bivalve_8,Crustacean_1
Bivalve_8,Crustacean_2
Bivalve_8,Crustacean_3
Bivalve_9,Crustacean_1
Brachiopod_1,Ammonite_1
Brachiopod_1,Ammonite_2
Brachiopod_1,Ammonite_3
Brachiopod_1,Belemnite_1
Brachiopod_1,Crustacean_1
Brachiopod_1,Crustacean_2
Brachiopod_1,Crustacean_3
Brachiopod_1,Crustacean_4
Brachiopod_1,Fish_1
Brachiopod_1,Ophiuroid_1
Brachiopod_1,Scaphopod_1
Crinoid_1,Ammonite_2
Crinoid_1,Ammonite_3
Crinoid_1,Belemnite_1
Crinoid_1,Belemnite_2
Crinoid_1,Fish_1
Crinoid_1,Ophiuroid_1
Crinoid_2,Ammonite_1
Crinoid_2,Ammonite_2
Crinoid_2,Ammonite_3
Crinoid_2,Belemnite_1
Crinoid_2,Fish_1
Crinoid_2,Ophiuroid_1
Crustacean_1,Crustacean_1
Crustacean_2,Crustacean_1
Crustacean_2,Crustacean_2
Crustacean_2,Crustacean_3
Crustacean_3,Crustacean_1
Crustacean_3,Crustacean_2
Crustacean_3,Crustacean_3
Crustacean_4,Crustacean_1
Crustacean_4,Crustacean_2
Crustacean_4,Crustacean_3
Crustacean_4,Crustacean_4
Fish_1,Belemnite_1
Fish_1,Belemnite_2
Fish_1,Belemnite_3
Fish_1,Fish_1
Gastropod_1,Ammonite_1
Gastropod_1,Ammonite_2
Gastropod_1,Crustacean_2
Gastropod_1,Crustacean_3
Gastropod_1,Crustacean_4
Gastropod_1,Gastropod_2
Gastropod_1,Ophiuroid_1
Gastropod_2,Ammonite_1
Gastropod_2,Ammonite_2
Gastropod_2,Crustacean_2
Gastropod_2,Crustacean_3
Gastropod_2,Crustacean_4
Gastropod_2,Gastropod_2
Gastropod_2,Ophiuroid_1
Gastropod_3,Ammonite_1
Gastropod_3,Ammonite_2
Gastropod_3,Crustacean_2
Gastropod_3,Crustacean_3
Gastropod_3,Crustacean_4
Gastropod_3,Gastropod_2
Gastropod_3,Ophiuroid_1
Gastropod_3,Scaphopod_1
Ophiuroid_1,Ammonite_2
Ophiuroid_1,Ammonite_3
Ophiuroid_1,Belemnite_1
Ophiuroid_1,Belemnite_2
Ophiuroid_1,Crustacean_1
Ophiuroid_1,Crustacean_2
Ophiuroid_1,Crustacean_3
Ophiuroid_1,Fish_1
Ophiuroid_1,Ophiuroid_1
Scaphopod_1,Crustacean_1
Scaphopod_1,Crustacean_2
Scaphopod_1,Crustacean_3
Scaphopod_1,Crustacean_4
Scaphopod_1,Ophiuroid_1
Scaphopod_1,Scaphopod_1
Serpulid_1,Ammonite_1
Serpulid_1,Ammonite_2
Serpulid_1,Ammonite_3
Serpulid_1,Belemnite_1
Serpulid_1,Crustacean_1
Serpulid_1,Crustacean_2
Serpulid_1,Crustacean_3
Serpulid_1,Crustacean_4
Serpulid_1,Fish_1
Serpulid_1,Ophiuroid_1
Serpulid_1,Scaphopod_1
Soft_1,Ammonite_2
Soft_1,Ammonite_3
Soft_1,Belemnite_1
Soft_1,Belemnite_2
Soft_1,Crustacean_1
Soft_1,Crustacean_2
Soft_1,Crustacean_3
Soft_1,Fish_1
Soft_1,Ophiuroid_1
Soft_2,Ammonite_1
Soft_2,Ammonite_2
Soft_2,Ammonite_3
Soft_2,Belemnite_1
Soft_2,Crustacean_1
Soft_2,Crustacean_2
Soft_2,Crustacean_3
Soft_2,Crustacean_4
Soft_2,Fish_1
Soft_2,Ophiuroid_1
Soft_3,Crustacean_1
Soft_3,Crustacean_2
Soft_3,Crustacean_3
Soft_3,Crustacean_4
Soft_4,Crustacean_1
Soft_4,Crustacean_2
