threshold,robustness,rep
1,0.7916666666666666,1
1,0.4375,2
1,0.4375,3
1,0.5,4
1,0.5,5
1,0.6875,6
1,0.625,7
1,0.5208333333333334,8
1,0.6458333333333334,9
1,0.3958333333333333,10
6,0.75,1
6,0.3958333333333333,2
6,0.3958333333333333,3
6,0.4583333333333333,4
6,0.4583333333333333,5
6,0.6458333333333334,6
6,0.5833333333333334,7
6,0.4791666666666667,8
6,0.6041666666666666,9
6,0.3541666666666667,10
11,0.6875,1
11,0.3333333333333333,2
11,0.3333333333333333,3
11,0.3958333333333333,4
11,0.3958333333333333,5
11,0.5833333333333334,6
11,0.5208333333333334,7
11,0.4166666666666667,8
11,0.5416666666666666,9
11,0.2916666666666667,10
16,0.6458333333333334,1
16,0.2916666666666667,2
16,0.2916666666666667,3
16,0.3541666666666667,4
16,0.3541666666666667,5
16,0.5833333333333334,6
16,0.4791666666666667,7
16,0.375,8
16,0.5,9
16,0.25,10
21,0.6458333333333334,1
21,0.22916666666666666,2
21,0.25,3
21,0.2916666666666667,4
21,0.3125,5
21,0.5833333333333334,6
21,0.4583333333333333,7
21,0.3333333333333333,8
21,0.4583333333333333,9
21,0.1875,10
26,0.6458333333333334,1
26,0.1875,2
26,0.25,3
26,0.2916666666666667,4
26,0.3125,5
26,0.5833333333333334,6
26,0.4583333333333333,7
26,0.3333333333333333,8
26,0.4583333333333333,9
26,0.16666666666666666,10
31,0.6458333333333334,1
31,0.1875,2
31,0.25,3
31,0.2916666666666667,4
31,0.3125,5
31,0.5833333333333334,6
31,0.4583333333333333,7
31,0.3333333333333333,8
31,0.4583333333333333,9
31,0.16666666666666666,10
36,0.6458333333333334,1
36,0.1875,2
36,0.25,3
36,0.2916666666666667,4
36,0.3125,5
36,0.5833333333333334,6
36,0.4583333333333333,7
36,0.3333333333333333,8
36,0.4583333333333333,9
36,0.16666666666666666,10
41,0.6041666666666666,1
41,0.1875,2
41,0.25,3
41,0.2916666666666667,4
41,0.3125,5
41,0.5833333333333334,6
41,0.4583333333333333,7
41,0.3333333333333333,8
41,0.4583333333333333,9
41,0.16666666666666666,10
46,0.5416666666666666,1
46,0.1875,2
46,0.25,3
46,0.2916666666666667,4
46,0.3125,5
46,0.5416666666666666,6
46,0.4583333333333333,7
46,0.3333333333333333,8
46,0.4583333333333333,9
46,0.16666666666666666,10
51,0.5,1
51,0.1875,2
51,0.25,3
51,0.2916666666666667,4
51,0.3125,5
51,0.5,6
51,0.4583333333333333,7
51,0.3333333333333333,8
51,0.4583333333333333,9
51,0.16666666666666666,10
56,0.4583333333333333,1
56,0.1875,2
56,0.25,3
56,0.2916666666666667,4
56,0.3125,5
56,0.4583333333333333,6
56,0.4583333333333333,7
56,0.3333333333333333,8
56,0.4583333333333333,9
56,0.16666666666666666,10
61,0.3958333333333333,1
61,0.1875,2
61,0.25,3
61,0.2916666666666667,4
61,0.3125,5
61,0.3958333333333333,6
61,0.3958333333333333,7
61,0.3333333333333333,8
61,0.3958333333333333,9
61,0.16666666666666666,10
66,0.3541666666666667,1
66,0.1875,2
66,0.25,3
66,0.2916666666666667,4
66,0.3125,5
66,0.3541666666666667,6
66,0.3541666666666667,7
66,0.3333333333333333,8
66,0.3541666666666667,9
66,0.16666666666666666,10
71,0.2916666666666667,1
71,0.1875,2
71,0.25,3
71,0.2916666666666667,4
71,0.2916666666666667,5
71,0.2916666666666667,6
71,0.2916666666666667,7
71,0.2916666666666667,8
71,0.2916666666666667,9
71,0.16666666666666666,10
76,0.25,1
76,0.1875,2
76,0.25,3
76,0.25,4
76,0.25,5
76,0.25,6
76,0.25,7
76,0.25,8
76,0.25,9
76,0.16666666666666666,10
81,0.20833333333333334,1
81,0.1875,2
81,0.20833333333333334,3
81,0.20833333333333334,4
81,0.20833333333333334,5
81,0.20833333333333334,6
81,0.20833333333333334,7
81,0.20833333333333334,8
81,0.20833333333333334,9
81,0.16666666666666666,10
86,0.14583333333333334,1
86,0.14583333333333334,2
86,0.14583333333333334,3
86,0.14583333333333334,4
86,0.14583333333333334,5
86,0.14583333333333334,6
86,0.14583333333333334,7
86,0.14583333333333334,8
86,0.14583333333333334,9
86,0.14583333333333334,10
91,0.10416666666666667,1
91,0.10416666666666667,2
91,0.10416666666666667,3
91,0.10416666666666667,4
91,0.10416666666666667,5
91,0.10416666666666667,6
91,0.10416666666666667,7
91,0.10416666666666667,8
91,0.10416666666666667,9
91,0.10416666666666667,10
96,0.041666666666666664,1
96,0.041666666666666664,2
96,0.041666666666666664,3
96,0.041666666666666664,4
96,0.041666666666666664,5
96,0.041666666666666664,6
96,0.041666666666666664,7
96,0.041666666666666664,8
96,0.041666666666666664,9
96,0.041666666666666664,10
